id,round,date,home_team,tf,away_team,home_score,away_score
267,27,Sun Mar 07 2021,Manchester City,0–2,Manchester Utd,0,2
268,27,Sun Mar 07 2021,Tottenham,4–1,Crystal Palace,4,1
269,27,Mon Mar 08 2021,Chelsea,2–0,Everton,2,0
270,27,Mon Mar 08 2021,West Ham,2–0,Leeds United,2,0
271,28,Fri Mar 12 2021,Newcastle Utd,1–1,Aston Villa,1,1
272,28,Sat Mar 13 2021,Leeds United,0–0,Chelsea,0,0
273,28,Sat Mar 13 2021,Crystal Palace,1–0,West Brom,1,0
274,28,Sat Mar 13 2021,Everton,1–2,Burnley,1,2
275,28,Sat Mar 13 2021,Fulham,0–3,Manchester City,0,3
276,28,Sun Mar 14 2021,Southampton,1–2,Brighton,1,2
277,28,Sun Mar 14 2021,Leicester City,5–0,Sheffield Utd,5,0
278,28,Sun Mar 14 2021,Arsenal,2–1,Tottenham,2,1
279,28,Sun Mar 14 2021,Manchester Utd,1–0,West Ham,1,0
280,28,Mon Mar 15 2021,Wolves,0–1,Liverpool,0,1
281,29,Tue Mar 02 2021,Manchester City,4–1,Wolves,4,1
282,29,Wed Mar 03 2021,Sheffield Utd,1–0,Aston Villa,1,0
283,29,Wed Mar 03 2021,Burnley,1–1,Leicester City,1,1
284,29,Wed Mar 03 2021,Crystal Palace,0–0,Manchester Utd,0,0
285,29,Thu Mar 04 2021,West Brom,0–1,Everton,0,1
286,29,Thu Mar 04 2021,Liverpool,0–1,Chelsea,0,1
287,29,Fri Mar 19 2021,Fulham,1–2,Leeds United,1,2
288,29,Sat Mar 20 2021,Brighton,3–0,Newcastle Utd,3,0
289,29,Sun Mar 21 2021,West Ham,3–3,Arsenal,3,3
290,29,Wed Apr 21 2021(P),Tottenham,2–1,Southampton,2,1
291,30,Sat Apr 03 2021,Chelsea,2–5,West Brom,2,5
292,30,Sat Apr 03 2021,Leeds United,2–1,Sheffield Utd,2,1
293,30,Sat Apr 03 2021,Leicester City,0–2,Manchester City,0,2
294,30,Sat Apr 03 2021,Arsenal,0–3,Liverpool,0,3
295,30,Sun Apr 04 2021,Southampton,3–2,Burnley,3,2
296,30,Sun Apr 04 2021,Newcastle Utd,2–2,Tottenham,2,2
297,30,Sun Apr 04 2021,Aston Villa,3–1,Fulham,3,1
298,30,Sun Apr 04 2021,Manchester Utd,2–1,Brighton,2,1
299,30,Mon Apr 05 2021,Everton,1–1,Crystal Palace,1,1
300,30,Mon Apr 05 2021,Wolves,2–3,West Ham,2,3
301,31,Fri Apr 09 2021,Fulham,0–1,Wolves,0,1
302,31,Sat Apr 10 2021,Manchester City,1–2,Leeds United,1,2
303,31,Sat Apr 10 2021,Liverpool,2–1,Aston Villa,2,1
304,31,Sat Apr 10 2021,Crystal Palace,1–4,Chelsea,1,4
305,31,Sun Apr 11 2021,Burnley,1–2,Newcastle Utd,1,2
306,31,Sun Apr 11 2021,West Ham,3–2,Leicester City,3,2
307,31,Sun Apr 11 2021,Tottenham,1–3,Manchester Utd,1,3
308,31,Sun Apr 11 2021,Sheffield Utd,0–3,Arsenal,0,3
309,31,Mon Apr 12 2021,West Brom,3–0,Southampton,3,0
